name,year,country,genre,director,rating
Невероятная жизнь Уолтера Митти,2013,"США, Великобритания","комедия, приключения, фэнтези, драма, мелодрама",Бен Стиллер,7.7
Ветреная река,2016,"Великобритания, Канада, США","детектив, криминал, триллер",Тейлор Шеридан,7.5
Кунг-фу Панда,2008,"США, Китай","мультфильм, фэнтези, боевик, драма, комедия, приключения, семейный","Марк Осборн, Джон Стивенсон",7.8
Правила съема: Метод Хитча,2005,США,"мелодрама, комедия",Энди Теннант,7.8
Социальная сеть,2010,США,"драма, биография",Дэвид Финчер,7.7
После. Глава 3,2021,"США, Болгария","драма, мелодрама",Кастиль Лэндон,5.3
Достучаться до небес,1997,Германия,"драма, комедия, криминал",Томас Ян,8.6
Гарри Поттер и узник Азкабана,2004,"Великобритания, США","фэнтези, приключения, семейный",Альфонсо Куарон,8.2
Машинист,2003,"Испания, Франция, Великобритания, США","триллер, драма",Брэд Андерсон,7.6
Человек-паук 3: Враг в отражении,2007,США,"фантастика, боевик, приключения",Сэм Рэйми,7.1
Она,2013,США,"мелодрама, фантастика, драма",Спайк Джонс,7.6
Расплата,2016,США,"боевик, триллер, драма, криминал",Гэвин О’Коннор,7.4
Кот в сапогах 2: Последнее желание,2022,США,"мультфильм, комедия, приключения","Джоэль Кроуфорд, Хануэль Меркадо",96%
Грейхаунд,2020,"США, Китай, Канада","военный, боевик, история",Аарон Шнайдер,7.0
Человек с Земли,2007,США,"фантастика, драма",Ричард Шенкман,7.8
Человек-паук: Вдали от дома,2019,США,"фантастика, боевик, приключения",Джон Уоттс,7.3
Энканто,2021,США,"мультфильм, мюзикл, фэнтези, комедия, семейный","Джаред Буш, Байрон Ховард, Чариз Кастро Смит",7.5
Шкаф,2020,Корея Южная,ужасы,Ким Гван-бин,5.8
Из моего окна,2022,Испания,"драма, мелодрама, комедия",Марсаль Форес,6.1
Человек-паук 2,2004,США,"фантастика, боевик, приключения",Сэм Рэйми,7.3
Каникулы,2015,США,"комедия, приключения","Джон Фрэнсис Дейли, Джонатан М. Голдштейн",6.5
Ловушка времени,2017,США,"фантастика, боевик, детектив, приключения","Марк Деннис, Бен Фостер",6.7
Гарри Поттер и Кубок огня,2005,"Великобритания, США","фэнтези, приключения, семейный",Майк Ньюэлл,7.9
Великий уравнитель,2014,США,"боевик, триллер, криминал",Антуан Фукуа,7.0
Гарри Поттер и философский камень,2001,"Великобритания, США","фэнтези, приключения, семейный",Крис Коламбус,8.2
Судья,2014,США,драма,Дэвид Добкин,7.9
Сияние,1980,"США, Великобритания","триллер, драма, ужасы, детектив",Стэнли Кубрик,7.8
Головоломка,2015,США,"мультфильм, семейный, комедия","Пит Доктер, Роналдо Дель Кармен",8.0
Пятый элемент,1997,"Франция, Великобритания, США","фантастика, боевик, комедия, мелодрама",Люк Бессон,8.1
Час истины,2020,США,"триллер, криминал, детектив",Питер Фачинелли,6.5
Бегущий по лезвию 2049,2017,"США, Великобритания, Канада, Венгрия, Испания, Мексика","фантастика, боевик, триллер, драма, детектив",Дени Вильнёв,7.7
Осада,2021,"Канада, США","боевик, триллер",Эдвард Дрэйк,4.3
Тайная одержимость,2019,США,триллер,Питер Салливан,5.3
Фантастические твари: Тайны Дамблдора,2022,"Великобритания, США","фэнтези, приключения, семейный",Дэвид Йейтс,6.2
Лучшее предложение,2012,Италия,"триллер, драма, криминал",Джузеппе Торнаторе,8.0
Поезд в Пусан 2: Полуостров,2020,Корея Южная,"ужасы, боевик",Ён Сан-хо,5.5
Пробуждение,1990,США,"драма, биография",Пенни Маршалл,8.4
Не оглядывайся,2009,"Франция, Италия, Люксембург, Бельгия","триллер, драма",Марина де Ван,6.4
Вики Кристина Барселона,2008,"Испания, США","драма, мелодрама, комедия",Вуди Аллен,7.2
Джокер,2019,"США, Канада","драма, криминал, триллер",Тодд Филлипс,8.0
Вивариум,2019,"Ирландия, Бельгия, Дания","фантастика, драма",Лоркан Финнеган,6.1
Флирт с дьяволом,2021,"США, Германия, Швейцария",триллер,Луис Прието,5.2
Прислуга,2011,США,драма,Тейт Тейлор,8.2
Гнев человеческий,2021,"Великобритания, США","боевик, триллер",Гай Ричи,7.6
Зеленая миля,1999,США,"драма, криминал",Фрэнк Дарабонт,9.1
Финч,2021,США,"фантастика, драма",Мигель Сапочник,7.2
Эта дурацкая любовь,2011,США,"мелодрама, комедия","Гленн Фикарра, Джон Рекуа",7.6
Муви 43,2013,США,комедия,"Стивен Брилл, Питер Фаррелли, Элизабет Бэнкс, ...",5.0
Убойные каникулы,2010,Канада,"ужасы, комедия",Илай Крэйг,7.6
Анчартед: На картах не значится,2022,"США, Испания","боевик, приключения",Рубен Фляйшер,7.0
Семь психопатов,2012,"Великобритания, США","комедия, криминал",Мартин МакДона,7.3
Экипаж,2016,Россия,"драма, триллер, приключения",Николай Лебедев,7.6
Мортал Комбат,2021,США,"боевик, фэнтези, фантастика",Саймон Маккуойд,6.2
Родители строгого режима,2022,Россия,комедия,Никита Владимиров,93%
Банкир,2019,США,"биография, драма",Джордж Нолфи,7.2
Маяк,2019,"Канада, США, Бразилия","ужасы, фэнтези, драма",Роберт Эггерс,7.1
Вселенная Стивена Хокинга,2014,"Великобритания, Япония","биография, мелодрама, драма",Джеймс Марш,7.9
Плохие парни,1995,США,"боевик, комедия, триллер, криминал",Майкл Бэй,7.7
Ампир V,2022,Россия,"фэнтези, драма",Виктор Гинзбург,93%
Центурион,2009,"Великобритания, Франция, США","боевик, триллер, драма, приключения, военный, история",Нил Маршалл,6.6
Дом Gucci,2021,"США, Канада","биография, драма, криминал, триллер",Ридли Скотт,7.1
Престиж,2006,"Великобритания, США","триллер, фантастика, драма, детектив",Кристофер Нолан,8.5
Дэдпул 2,2018,"США, Канада","фантастика, боевик, комедия, приключения",Дэвид Литч,7.4
Простая просьба,2018,"США, Канада","триллер, комедия, криминал, детектив",Пол Фиг,6.8
Рок-н-рольщик,2008,"Великобритания, США","криминал, боевик, триллер",Гай Ричи,7.8
Доктор Свисток,2022,Россия,комедия,Ара Оганесян,1.5
Пылающее море,2021,Норвегия,"боевик, триллер",Йон Андреас Андерсен,6.7
"Те, кто желает мне смерти",2021,"Канада, США","боевик, триллер, драма, криминал",Тейлор Шеридан,5.9
Не смотрите наверх,2021,США,"драма, фантастика, комедия",Адам МакКей,7.5
Идиократия,2005,США,"фантастика, комедия, приключения",Майк Джадж,6.6
Останься,2005,США,"триллер, драма, детектив",Марк Форстер,7.2
Гордость и предубеждение,2005,"Великобритания, Франция, США","драма, мелодрама",Джо Райт,8.0
Однажды в Америке,1983,"Италия, США","драма, криминал",Серджио Леоне,8.3
Игра теней,2022,"Китай, Австралия, США","боевик, триллер",Марк Уильямс,5.2
Чемпион мира,2021,Россия,драма,Алексей Сидоров,6.9
Основной инстинкт,1992,"США, Франция","триллер, драма, детектив",Пол Верховен,7.7
Стекло,2019,"США, Китай","фантастика, триллер, драма",М. Найт Шьямалан,6.5
Крестный отец,1972,США,"драма, криминал",Фрэнсис Форд Коппола,8.7
Пираты Карибского моря: На странных берегах,2011,"США, Великобритания","приключения, боевик, фэнтези, комедия",Роб Маршалл,7.3
Такси,1998,Франция,"боевик, комедия, криминал",Жерар Пирес,7.9
Лес,2018,Россия,драма,Роман Жигалов,6.5
Чернобыль: Зона отчуждения. Финал,2019,Россия,"триллер, фантастика",Дмитрий Киселёв,5.9
Звёздный разум,2022,Россия,"фантастика, триллер",,4.7
Телохранитель жены киллера,2020,"Великобритания, США","боевик, комедия",Патрик Хьюз,6.1
Король Ричард,2021,США,"биография, спорт, драма",Рейнальдо Маркус Грин,7.6
Охотник на монстров,2020,"США, Китай, Германия, Япония","фэнтези, боевик, приключения",Пол У. С. Андерсон,5.8
Двадцать одно,2008,США,"триллер, драма, криминал, история",Роберт Лукетич,7.7
Неуязвимый,2000,США,"фантастика, триллер, драма, детектив",М. Найт Шьямалан,7.1
До встречи с тобой,2016,"Великобритания, США","драма, мелодрама",Теа Шэррок,7.2
Сказки на ночь,2008,США,"фантастика, фэнтези, мелодрама, комедия, приключения, семейный",Адам Шенкман,6.9
Укрась прощальное утро цветами обещания,2018,Япония,"аниме, мультфильм, драма, мелодрама, приключения, фэнтези",Мари Окада,7.9
Пиджак,2004,"США, Германия","триллер, фантастика, детектив, драма",Джон Мэйбери,7.8
Тик-так... БУМ!,2021,США,"мюзикл, драма, биография",Лин-Мануэль Миранда,7.9
X,2022,США,ужасы,Тай Уэст,–
Родные,2021,Россия,"комедия, драма",Илья Аксенов,6.4
Москва слезам не верит,1979,СССР,"мелодрама, драма, комедия",Владимир Меньшов,8.4
Звёздные войны: Эпизод 1 — Скрытая угроза,1999,США,"фантастика, фэнтези, боевик, приключения",Джордж Лукас,7.9
Искушение,2020,"Франция, Бельгия, Нидерланды","биография, драма, мелодрама, история",Пол Верховен,6.5
Ярость,2014,"США, Китай, Великобритания","боевик, драма, военный",Дэвид Эйр,7.4
Как приручить дракона,2010,США,"мультфильм, фэнтези, комедия, приключения, семейный","Дин ДеБлуа, Крис Сандерс",8.2
Солнцепек,2021,Россия,драма,"Максим Бриус, Михаил Вассербаум",–
Про уродов и людей,1998,Россия,"драма, комедия, история",Алексей Балабанов,7.1
Апокалипсис сегодня,1979,США,"военный, драма, история, боевик",Фрэнсис Форд Коппола,8.1
Синистер,2012,"США, Великобритания, Канада","ужасы, триллер, детектив",Скотт Дерриксон,6.6
Тихая ночь,2020,Великобритания,"драма, комедия, фантастика",Камилль Гриффин,6.0
Вверх,2009,США,"мультфильм, драма, комедия, приключения, семейный","Пит Доктер, Боб Питерсон",8.0
Привидение,1990,США,"мелодрама, фэнтези, триллер, драма",Джерри Цукер,8.2
Черный ящик,2021,Франция,"триллер, драма, детектив",Ян Гозлан,7.6
Дракула,2014,"США, Великобритания, Ирландия","ужасы, фэнтези, боевик, драма",Гари Шор,6.6
Карта совершенных мгновений,2021,США,"мелодрама, комедия, фэнтези",Йен Сэмюэлс,6.7
"Человек, который изменил всё",2011,США,"биография, спорт, драма",Беннетт Миллер,7.7
Счастливое число Слевина,2005,"США, Канада, Великобритания, Германия","триллер, драма, криминал",Пол Макгиган,8.1
Человек дождя,1988,США,драма,Барри Левинсон,8.2
Эйфель,2021,"Франция, Бельгия, Германия","драма, мелодрама, биография, история",Мартин Бурбулон,7.1
Скорая,2022,США,"боевик, триллер, драма, криминал",Майкл Бэй,6.6
В западне,2021,США,триллер,С.К. Дэйл,5.7
Звук металла,2019,"США, Бельгия","драма, музыка",Дариус Мардер,7.3
Полночь в Париже,2011,"США, Испания","фэнтези, мелодрама, комедия",Вуди Аллен,7.7
127 часов,2010,"Великобритания, США, Франция","триллер, биография, драма, приключения",Дэнни Бойл,7.7
Трасса 60,2001,"Канада, США","фантастика, фэнтези, драма, комедия, детектив, приключения",Боб Гейл,8.0
Джиа (ТВ,1998,США,"драма, мелодрама, биография",Майкл Кристофер,7.9
Комната,2015,"Канада, Ирландия, Великобритания, США","триллер, драма",Леонард Абрахамсон,7.7
Первому игроку приготовиться,2018,"США, Индия","фантастика, боевик, приключения",Стивен Спилберг,7.4
Братья,2009,США,"боевик, триллер, драма, военный",Джим Шеридан,7.4
Капитан Марвел,2019,"США, Австралия","фантастика, боевик, приключения","Анна Боден, Райан Флек",6.5
Сад изящных слов,2013,Япония,"аниме, мультфильм, мелодрама",Макото Синкай,7.8
Спасти рядового Райана,1998,США,"военный, драма",Стивен Спилберг,8.2
Дорога домой,2021,"Австралия, США","мультфильм, комедия, приключения, семейный","Гарри Криппс, Клэр Найт",6.8
Искупление,2007,"Великобритания, Франция, США","драма, мелодрама, детектив, военный",Джо Райт,8.0
"Девушка, подающая надежды",2020,"Великобритания, США","триллер, драма, криминал",Эмиральд Феннел,6.8
Утомленные солнцем,1994,"Россия, Франция","драма, военный, история",Никита Михалков,7.7
Худший человек на свете,2021,"Норвегия, Франция, Швеция, Дания","драма, мелодрама, комедия",Йоаким Триер,7.5
Дорога,2009,США,"драма, приключения",Джон Хиллкоут,7.2
Мадагаскар,2005,США,"мультфильм, комедия, приключения, семейный","Эрик Дарнелл, Том МакГрат",7.9
Свингеры,2021,"Россия, Латвия","комедия, мелодрама","Андрейс Экис , Дмитрий Фикс",6.3
Рука Бога,2021,"Италия, США",драма,Паоло Соррентино,7.6
Пикник у Висячей скалы,1975,Австралия,"драма, детектив",Питер Уир,7.5
Потеряшки и тайна волшебной пирамиды,2020,Италия,"мультфильм, комедия, приключения","Франческо Дафано, Лука Делла Гротта",–
Фантастическая четверка,2015,"США, Германия, Великобритания","фантастика, боевик, приключения","Джош Транк, Стивен Е. Ривкин",4.3
Фокус,2014,"США, Аргентина","драма, мелодрама, комедия, криминал","Гленн Фикарра, Джон Рекуа",7.1
Власть пса,2021,"Великобритания, Канада, Австралия, Новая Зеландия, США","драма, вестерн",Джейн Кэмпион,6.6
Суд над чикагской семеркой,2020,"США, Великобритания, Индия","триллер, биография, драма, история",Аарон Соркин,7.6
Таинственная река,2003,"США, Австралия","триллер, драма, криминал, детектив",Клинт Иствуд,7.8
Этот дом,2022,"Великобритания, США","мультфильм, драма, комедия, фэнтези","Палома Баэза, Эмма де Свааф, Ники Линдрот фон Бар, ...",7.3
Принцесса Мононоке,1997,Япония,"аниме, мультфильм, фэнтези, драма, приключения",Хаяо Миядзаки,8.2
Побег,2021,"Дания, Франция, Норвегия, Швеция, Нидерланды, Великобритания, США, Финляндия, Италия, Испания, Эстония, Словения","мультфильм, документальный, драма, биография",Йонас Поэр Расмуссен,7.1
Капернаум,2018,"Ливан, Франция, Кипр, Катар, Великобритания",драма,Надин Лабаки,8.1
5 сантиметров в секунду,2007,Япония,"аниме, мультфильм, драма, мелодрама",Макото Синкай,7.9
Американский психопат,2000,"США, Канада","драма, криминал, триллер",Мэри Хэррон,7.1
10 причин моей ненависти,1999,США,"драма, мелодрама, комедия",Джил Джангер,7.8
Левиафан,2014,Россия,"драма, криминал",Андрей Звягинцев,6.9
Дэдпул,2016,США,"фантастика, боевик, комедия, приключения",Тим Миллер,7.5
Галопом по Европе,2021,Испания,комедия,Фернандо Гарсиа-Руис Рубио,5.6
Звёздные войны: Пробуждение силы,2015,США,"фантастика, боевик, приключения",Джей Джей Абрамс,7.1
Взаперти,2020,"США, Канада","триллер, драма, детектив",Аниш Чаганти,6.8
Лицо со шрамом,1983,США,"драма, криминал",Брайан Де Пальма,8.2
Выжить,1992,"США, Канада","триллер, драма, приключения, история",Фрэнк Маршалл,7.7
Мстители: Война бесконечности,2018,США,"фантастика, боевик, приключения","Энтони Руссо, Джо Руссо",8.0
Стажёр,2015,США,"мелодрама, комедия",Нэнси Майерс,7.6
Американская история X,1998,США,драма,Тони Кэй,8.3
Птичий короб,2018,США,"ужасы, фантастика",Сюзанна Бир,6.8
Ведьмина служба доставки,1989,Япония,"аниме, мультфильм, фэнтези, комедия, приключения, семейный",Хаяо Миядзаки,8.1
Пленницы,2013,США,"триллер, драма, криминал, детектив",Дени Вильнёв,7.8
Петровы в гриппе,2020,"Россия, Франция, Швейцария, Германия","драма, фантастика",Кирилл Серебренников,6.9
Выстрел в пустоту,2015,США,"триллер, драма, криминал",Рик Роман Во,7.5
Прошлой ночью в Сохо,2021,Великобритания,"драма, триллер, ужасы",Эдгар Райт,6.7
Лабиринт Фавна,2006,"Мексика, Испания","фэнтези, драма, военный",Гильермо дель Торо,7.6
Обитель проклятых,2014,США,"триллер, драма",Брэд Андерсон,7.2
Служанка,2016,Корея Южная,"мелодрама, триллер, драма, история",Пак Чхан-ук,7.6
Поиск,2018,"США, Россия","детектив, триллер, драма",Аниш Чаганти,7.5
Мариуполис,2016,"Литва, Германия, Франция, Украина",документальный,Мантас Кведаравичюс,–
Изгой,2000,США,"драма, мелодрама, приключения",Роберт Земекис,8.3
"Дом, который построил Джек",2018,"Дания, Франция, Швеция, Германия, Бельгия, Тунис","триллер, драма, криминал, ужасы",Ларс фон Триер,7.0
Форрест Гамп,1994,США,"драма, комедия, мелодрама, история, военный",Роберт Земекис,8.9
Город призраков,2008,США,"фэнтези, драма, мелодрама, комедия",Дэвид Кепп,6.8
Идеальные незнакомцы,2015,Италия,"драма, комедия",Паоло Дженовезе,7.6
Чего хотят мужчины,2019,США,"фэнтези, мелодрама, комедия",Адам Шенкман,6.2
Майор Гром: Чумной Доктор. Расширенная версия,2021,Россия,"боевик, криминал, детектив, комедия",Олег Трофим,7.5
Работа без авторства,2018,"Германия, Италия","биография, драма, военный, мелодрама",Флориан Хенкель фон Доннерсмарк,8.0
Безумный Макс: Дорога ярости,2015,"Австралия, ЮАР","боевик, фантастика, приключения",Джордж Миллер,7.8
Властелин колец: Две крепости,2002,"Новая Зеландия, США","фэнтези, приключения, драма",Питер Джексон,8.6
Носители,2008,США,"фантастика, триллер, драма, приключения","Давид Пастор, Алекс Пастор",6.1
Преступный квест,2021,США,"триллер, боевик",Эдвард Дрэйк,3.9
Могила светлячков,1988,Япония,"аниме, мультфильм, драма, военный",Исао Такахата,8.2
Мгла,2007,США,"ужасы, триллер, фантастика",Фрэнк Дарабонт,7.6
От заката до рассвета,1995,"США, Мексика","ужасы, боевик, фэнтези, триллер, комедия, криминал",Роберт Родригес,7.8
Автостопом по галактике,2005,"Великобритания, США","фантастика, комедия, приключения",Гарт Дженнингс,7.1
Поступь хаоса,2021,"США, Канада, Гонконг, Люксембург","фантастика, фэнтези, боевик, приключения",Даг Лайман,6.5
Первый мститель: Другая война,2014,США,"фантастика, боевик, триллер, приключения","Энтони Руссо, Джо Руссо",7.3
Дурак,2014,Россия,драма,Юрий Быков,8.1
Красный призрак,2020,Россия,"триллер, военный, история",Андрей Богатырев,7.1
Омерзительная восьмерка,2015,США,"вестерн, криминал, триллер, драма, детектив",Квентин Тарантино,7.9
Зверополис,2016,США,"мультфильм, комедия, криминал, детектив, приключения, семейный","Байрон Ховард, Рич Мур, Джаред Буш",8.3
Ford против Ferrari,2019,США,"биография, спорт, драма, боевик",Джеймс Мэнголд,8.2
Дьяволик,2021,Италия,"боевик, триллер, криминал, детектив","Антонио Манетти, Марко Манетти",–
Грязь,2013,"Великобритания, Германия, Швеция, Бельгия, США","криминал, комедия, драма",Джон С. Бейрд,7.6
Реальная любовь,2003,"Великобритания, Франция, США","мелодрама, комедия, драма",Ричард Кёртис,7.9
Большой баг,2022,Франция,"комедия, фантастика",Жан-Пьер Жёне,5.8
Чернобыль,2020,Россия,"драма, история",Данила Козловский,4.9
Ледниковый период: Приключения Бака,2022,"США, Канада","мультфильм, комедия, приключения, семейный",Джон С. Донкин,4.9
Хороший год,2006,"США, Великобритания","драма, мелодрама, комедия",Ридли Скотт,7.7
Стрингер,2013,США,"триллер, драма, криминал",Дэн Гилрой,7.4
Волк и лев,2021,"Франция, Канада",семейный,Жиль де Мэтр,8.0
Из машины,2014,Великобритания,"фантастика, триллер, драма",Алекс Гарленд,7.1
Хэнкок,2008,США,"фантастика, боевик, драма, комедия",Питер Берг,7.4
Красное уведомление,2021,США,"боевик, комедия, криминал",Роусон Маршалл Тёрбер,6.5
Сумерки,2008,США,"фэнтези, драма, мелодрама",Кэтрин Хардвик,6.7
Мавританец,2020,"Великобритания, США","биография, драма, триллер",Кевин Макдональд,7.4
После прочтения сжечь,2008,"США, Великобритания, Франция","драма, комедия, криминал, триллер","Итан Коэн, Джоэл Коэн",6.9
Бэтмен: Начало,2005,"Великобритания, США","боевик, фантастика, приключения, драма",Кристофер Нолан,7.9
На игле,1995,Великобритания,"драма, криминал",Дэнни Бойл,7.9
Гравитация,2013,"США, Мексика, Великобритания","фантастика, боевик, триллер, драма",Альфонсо Куарон,7.5
Начало,2010,"США, Великобритания","фантастика, боевик, триллер, драма, детектив",Кристофер Нолан,8.7
Король говорит!,2010,"Великобритания, США","драма, биография, история",Том Хупер,8.0
«V» значит Вендетта,2006,"Великобритания, Германия","фантастика, боевик, триллер, драма",Джеймс МакТиг,7.8
Аватар,2009,"США, Великобритания","фантастика, боевик, драма, приключения",Джеймс Кэмерон,7.9
Сердце дракона,1996,США,"фэнтези, боевик, приключения",Роб Коэн,7.7
Непрощённая,2021,"Великобритания, Германия, США","драма, криминал",Нора Финшелдт,7.3
Проект «Адам»,2022,США,"фантастика, боевик, комедия, приключения",Шон Леви,6.5
Храброе сердце,1995,США,"история, биография, драма, военный",Мэл Гибсон,8.3
Хоббит: Нежданное путешествие,2012,"Новая Зеландия, США","фэнтези, приключения, боевик",Питер Джексон,8.1
Твоё имя,2016,Япония,"аниме, мультфильм, фэнтези, драма, мелодрама",Макото Синкай,8.4
Варяг,2022,США,"фэнтези, боевик, триллер, драма, приключения, история",Роберт Эггерс,98%
Философы: Урок выживания,2013,"США, Индонезия","драма, фэнтези, история",Джон Хаддлс,5.8
Джон Уик,2014,"США, Китай","боевик, триллер, криминал","Чад Стахелски, Дэвид Литч",6.9
Взвод,1986,"США, Великобритания","военный, история, драма",Оливер Стоун,8.0
Дикие истории,2014,"Аргентина, Испания, Франция, Великобритания","триллер, драма, комедия",Дамиан Сифрон,7.7
Последнее пришествие дьявола,2021,"Мексика, Венесуэла, США","ужасы, драма",Алехандро Идальго,5.2
Фантастическая четверка,2005,"США, Германия","фантастика, фэнтези, боевик, приключения",Тим Стори,6.7
Последний самурай,2003,"США, Новая Зеландия, Япония","боевик, драма",Эдвард Цвик,8.1
Лекарь: Ученик Авиценны,2013,Германия,"приключения, история, драма",Филипп Штёльцль,7.7
Игра в имитацию,2014,"Великобритания, США","триллер, драма, военный, биография",Мортен Тильдум,7.6
Сплит,2017,"США, Япония","триллер, ужасы",М. Найт Шьямалан,7.0
Парни под прикрытием,2022,"США, Пуэрто Рико","боевик, триллер",Марк Невелдайн,4.2
Иллюзия контроля,2021,"Великобритания, Украина, Германия","триллер, драма",Владэк Занковски,6.6
Подмена,2008,США,"триллер, драма, криминал, детектив, биография, история",Клинт Иствуд,7.9
Меняющие реальность,2011,США,"фантастика, триллер, мелодрама",Джордж Нолфи,7.4
Невидимый гость,2016,Испания,"триллер, драма, криминал, детектив",Ориол Паоло,7.8
Назови меня своим именем,2017,"Италия, Франция, США, Бразилия","драма, мелодрама",Лука Гуаданьино,7.5
Война будущего,2021,США,"фантастика, боевик",Крис МакКей,6.3
Семейка Аддамс: Горящий тур,2021,"США, Канада","мультфильм, ужасы, фэнтези, комедия, приключения, семейный","Грег Тирнан, Конрад Вернон, Лаура Бруссо, ...",5.8
Ван Хельсинг,2004,"США, Чехия, Румыния","фэнтези, боевик, триллер, приключения",Стивен Соммерс,7.6
Джуманджи: Зов джунглей,2017,"США, Индия, Канада, Великобритания, Австралия, Германия","фэнтези, боевик, комедия, приключения",Джейк Кэздан,6.9
Турист,2021,Россия,боевик,Андрей Батов,7.0
Луна 2112,2009,"Великобритания, США","фантастика, драма, детектив",Дункан Джонс,7.6
Люди Икс: Первый класс,2011,"США, Великобритания","фантастика, боевик, приключения",Мэттью Вон,7.7
Помни,2000,США,"триллер, детектив, драма, криминал",Кристофер Нолан,7.9
"Поймай меня, если сможешь",2002,"США, Канада","криминал, биография, комедия",Стивен Спилберг,8.5
Трагедия Макбета,2021,США,"драма, фэнтези",Джоэл Коэн,7.1
Славные парни,1990,США,"драма, криминал, биография",Мартин Скорсезе,8.1
Невидимка,2000,"США, Германия","ужасы, фантастика",Пол Верховен,6.9
Новые мутанты,2020,США,"фантастика, боевик, детектив, ужасы",Джош Бун,5.6
Груз 200,2007,Россия,"триллер, драма",Алексей Балабанов,6.6
ДМБ,2000,Россия,комедия,Роман Качанов,7.8
Полный расколбас,2016,"США, Канада","мультфильм, фэнтези, комедия, приключения","Грег Тирнан, Конрад Вернон",5.9
Хочу съесть твою поджелудочную железу,2018,Япония,"аниме, мультфильм, драма, мелодрама",Синъитиро Усидзима,7.8
2012,2009,США,"фантастика, приключения, боевик",Роланд Эммерих,6.9
Коралина в Стране Кошмаров,2008,США,"мультфильм, фэнтези, триллер, драма, семейный",Генри Селик,7.7
Сквозь снег,2013,"Корея Южная, Чехия","фантастика, боевик, драма",Пон Джун-хо,6.8
Плутовство,1997,США,"драма, комедия",Барри Левинсон,7.6
Однажды в пустыне,2022,Россия,военный,Андрей Кравчук,6.6
Глубокие воды,2022,"США, Австралия","триллер, драма, детектив",Эдриан Лайн,5.6
Яйцо Фаберже,2021,Россия,"комедия, приключения",Илья Фарфель,5.6
Маленькие женщины,2019,США,"драма, мелодрама",Грета Гервиг,7.7
Код 355,2022,"США, Китай","триллер, боевик",Саймон Кинберг,5.6
Охотники за привидениями,1984,США,"фантастика, фэнтези, боевик, комедия",Айвен Райтман,8.0
8 подруг Оушена,2018,США,"боевик, триллер, комедия, криминал",Гэри Росс,6.6
Скотт Пилигрим против всех,2010,"США, Великобритания, Канада, Япония","фэнтези, боевик, мелодрама, комедия",Эдгар Райт,7.2
"Знакомьтесь, Джо Блэк",1998,США,"мелодрама, фэнтези, драма",Мартин Брест,8.0
Драйв,2011,США,"криминал, драма, триллер, фильм-нуар",Николас Виндинг Рефн,7.3
Невозможное,2012,"Испания, Таиланд, США",драма,Хуан Антонио Байона,7.9
Живая сталь,2011,"США, Индия","фантастика, боевик, семейный",Шон Леви,7.6
Джуманджи: Новый уровень,2019,США,"фэнтези, боевик, комедия, приключения",Джейк Кэздан,6.6
Аферистка,2020,"США, Великобритания","триллер, комедия, криминал",Дж. Блэйксон,6.6
По наклонной,2020,США,"драма, криминал","Энтони Руссо, Джо Руссо",6.9
Девятаев,2021,Россия,"военный, биография, боевик, история, драма","Тимур Бекмамбетов, Сергей Трофимов",6.3
Пианино,1992,"Австралия, Новая Зеландия, Франция","драма, мелодрама, музыка",Джейн Кэмпион,7.8
Взаперти,2022,США,триллер,Ди Джей Карузо,5.3
Законопослушный гражданин,2009,США,"боевик, триллер, драма, криминал",Ф. Гэри Грей,8.0
Темный рыцарь,2008,"США, Великобритания","фантастика, боевик, триллер, криминал, драма",Кристофер Нолан,8.5
Чёрный краб,2022,Швеция,"фантастика, боевик, триллер, драма, приключения, военный",Адам Берг,5.9
12 лет рабства,2013,"США, Великобритания","драма, биография, история",Стив МакКуин,7.7
Мотылёк,2017,"США, Чехия, Испания","драма, криминал, приключения, биография",Михаэль Ноер,7.5
Шестое чувство,1999,США,"детектив, фэнтези, фантастика, триллер, драма",М. Найт Шьямалан,8.2
Атака титанов. Фильм первый: Жестокий мир,2015,Япония,"фантастика, драма, боевик",Синдзи Хигути,4.5
Гарри Хафт: Последний бой,2021,"Канада, Венгрия, США","драма, биография",Барри Левинсон,6.9
Мстители: Финал,2019,США,"фантастика, боевик, драма, приключения","Энтони Руссо, Джо Руссо",7.7
1917,2019,"США, Великобритания, Индия, Испания, Канада, Китай","военный, боевик, драма, история",Сэм Мендес,7.9
Календарь дьявола,2020,"Франция, Бельгия",ужасы,Патрик Ридремон,5.8
Остров фантазий,2020,США,"триллер, фантастика",Джефф Уодлоу,5.6
Горбатая гора,2005,"США, Канада","вестерн, мелодрама, драма",Энг Ли,7.6
Пятьдесят оттенков серого,2015,США,мелодрама,Сэм Тейлор-Джонсон,4.4
Области тьмы,2011,"США, Мексика","триллер, драма, фантастика",Нил Бёргер,8.0
Большая игра,2017,"США, Канада, Китай","биография, криминал, драма",Аарон Соркин,7.6
Парни со стволами,2016,"США, Румыния","драма, комедия, криминал, военный, биография",Тодд Филлипс,6.9
Исчезнувшая,2014,США,"триллер, драма, детектив",Дэвид Финчер,8.0
Трансформеры: Последний рыцарь,2017,"США, Китай, Канада, Мексика","фантастика, боевик, приключения",Майкл Бэй,5.6
Астрал,2010,США,"ужасы, триллер",Джеймс Ван,6.8
Невыносимая тяжесть огромного таланта,2022,США,"боевик, комедия, криминал",Том Гормикэн,99%
Треугольник,2009,"Великобритания, Австралия","фантастика, триллер",Кристофер Смит,6.8
